hotspot_id,time_block,historical_violation_count,centroid_lat,centroid_lon,estimated_delay_minutes,resource_cost,confidence_score
1,Monday_0500,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Monday_0600,3,12.906838334899927,77.69658007283259,6.5,1,0.045454545454545456
1,Monday_0700,3,12.906838334899927,77.69658007283259,6.5,1,0.09090909090909091
1,Saturday_2100,3,12.906838334899927,77.69658007283259,6.5,1,0.045454545454545456
1,Saturday_2200,16,12.906838334899927,77.69658007283259,26.0,3,0.13636363636363635
1,Sunday_0000,12,12.906838334899927,77.69658007283259,20.0,2,0.13636363636363635
1,Sunday_0100,3,12.906838334899927,77.69658007283259,6.5,1,0.09090909090909091
1,Sunday_0200,5,12.906838334899927,77.69658007283259,9.5,1,0.045454545454545456
1,Sunday_0300,12,12.906838334899927,77.69658007283259,20.0,2,0.045454545454545456
1,Sunday_0500,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Sunday_0700,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Sunday_2100,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Thursday_0300,10,12.906838334899927,77.69658007283259,17.0,2,0.09090909090909091
1,Thursday_0400,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Thursday_0500,8,12.906838334899927,77.69658007283259,14.0,2,0.045454545454545456
1,Thursday_0600,4,12.906838334899927,77.69658007283259,8.0,1,0.09090909090909091
1,Thursday_1200,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Tuesday_0100,4,12.906838334899927,77.69658007283259,8.0,1,0.045454545454545456
1,Tuesday_0200,6,12.906838334899927,77.69658007283259,11.0,2,0.045454545454545456
1,Tuesday_0400,4,12.906838334899927,77.69658007283259,8.0,1,0.045454545454545456
1,Tuesday_0500,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Tuesday_0600,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Tuesday_0700,4,12.906838334899927,77.69658007283259,8.0,1,0.045454545454545456
1,Tuesday_0800,6,12.906838334899927,77.69658007283259,11.0,2,0.09090909090909091
1,Wednesday_0200,52,12.906838334899927,77.69658007283259,80.0,3,0.2727272727272727
1,Wednesday_0300,2,12.906838334899927,77.69658007283259,5.0,1,0.045454545454545456
1,Wednesday_0400,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Wednesday_0500,4,12.906838334899927,77.69658007283259,8.0,1,0.09090909090909091
1,Wednesday_0600,3,12.906838334899927,77.69658007283259,6.5,1,0.09090909090909091
1,Wednesday_0800,8,12.906838334899927,77.69658007283259,14.0,2,0.09090909090909091
1,Wednesday_2100,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
2,Friday_0000,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Friday_0100,3,12.955495304981191,77.51965000730594,6.5,1,0.09090909090909091
2,Friday_0200,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Friday_0300,4,12.955495304981191,77.51965000730594,8.0,1,0.09090909090909091
2,Friday_0400,4,12.955495304981191,77.51965000730594,8.0,1,0.09090909090909091
2,Friday_0500,23,12.955495304981191,77.51965000730594,36.5,3,0.18181818181818182
